Statistical unit;Unit of measure;Level of education;Orientation;Type of institution;Type of expenditure;Source of funding;Funding flow;Teaching experience;Type of contract;Reference area;Time Period;2010;2011;2012;2013;2014;2015;2016;2017
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L2:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;1.737.455;1.373.576;1.283.296;2.051.786;1.618.710;1.456.537;;
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L4:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;;;585.344;;;;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;_T:Total;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:_T:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;370.918;348.497;316.859;306.795;280.135;279.739;336.576;379.040
EDU_EXP:Expenditure on education;GDP:as % of GDP;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L02:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;0.03556;0.05809;0.03242;0.00270;0.00550;0.00686;0.01054;0.01337
EDU_EXP:Expenditure on education;USD:US dollar;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:L4:_T:_T:_T:GOV:_T:_Z:_Z:IR;58.686.583;78.205.097;83.371.584;100.152.278;68.691.902;69.773.601;58.157.799;61.189.474
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L02:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;102.348.469;172.411.114;112.861.536;7.686.951;13.543.632;14.274.444;;
XUNIT:Government expenditure per student;USD:US dollar;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L2:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;97.629.646;89.721.008;99.190.367;160.714.369;97.708.448;80.706.473;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2_3:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;1.040.466;;1.477.151;1.524.247
XUNIT:Government expenditure per student;GNI_CAP:as % of GNI per capita;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GNI_CAP:L4:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;;;689.568;;;;;
EDU_EXP:Expenditure on education;GNI:as % of GNI;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L4:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.11302;0.14523;0.12127;0.16200;0.13893;;;0.14559
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;8.877.418;;8.460.368;8.460.370
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L3:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;1.038.875;;1.475.328;1.525.861
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L1:Primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L1:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;182.425.213;208.950.314;178.852.470;127.004.936;126.565.368;;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L5T8:Tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L5T8:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.63363;0.80193;0.77736;0.67193;0.73513;;;111.753
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L02:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;869.130;;974.402;974.402
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L2:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;288.626.007;241.472.985;233.458.594;347.411.975;274.444.407;259.680.702;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L02:_T:INST_PUB:CUR:GOV:FFNTP:_Z:_Z:IR;;;;100;100;100;100;100
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L5T8:Tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L5T8:_T:_T:CUR:GOV:_T:_Z:_Z:IR;1.953.459;2.527.535;2.749.716;2.299.153;2.806.606;;;3.044.153
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;_X:Not allocated by level;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:_X:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0;0;0;0;0;0;0;0
XUNIT:Government expenditure per student;USD:US dollar;L5T8:Tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L5T8:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;69.208.181;94.868.932;102.981.006;92.124.016;73.336.877;;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L02:Pre-primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L02:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.03556;0.05809;0.03242;0.00270;;;;0.01337
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CAP:Capital;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L3:_T:INST_PUB:CAP:GOV:FFNTP:_Z:_Z:IR;;;;560.388;872.263;576.525;417.659;0.89430
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L2:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.737.455;1.373.576;1.283.296;2.051.786;1.618.710;1.456.537;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L2:Lower secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L2:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.71668;0.56486;0.50276;0.54534;0.40835;;;0.50077
EDU_EXP:Expenditure on education;GNI:as % of GNI;L5T8:Tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L5T8:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.63381;0.80180;0.77730;0.66724;0.73015;;;111.406
XUNIT:Government expenditure per student;GNI_CAP:as % of GNI per capita;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GNI_CAP:L1:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.198.620;1.245.200;1.057.402;777.073;778.527;762.257;;
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;316.581.507;253.347.282;270.080.054;283.079.585;238.860.530;259.189.231;;
XASTRP:Annual statutory teacher remuneration;GDP_CAP:as % of GDP per capita;L3:Upper secondary education;C4:General programmes;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);Y1:In the first year of teaching;PERM:Permanent;IR:Iran (Islamic Republic of);XASTRP:GDP_CAP:L3:C4:_T:_T:GOV:FFNTP:Y1:PERM:IR;;;;;;10.089.461;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CAP:Capital;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L02:_T:INST_PUB:CAP:GOV:FFNTP:_Z:_Z:IR;;;;0;0;0;0;0
EDU_EXP:Expenditure on education;USD:US dollar;_T:Total;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:_T:_T:_T:_T:GOV:_T:_Z:_Z:IR;1.535.818.448;1.697.424.403;1.848.871.803;1.837.254.270;1.309.391.098;1.215.395.534;1.298.762.049;1.588.089.738
XUNIT:Government expenditure per student;USD:US dollar;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L2:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;97.629.646;89.721.008;99.190.367;160.714.369;97.708.448;80.706.473;;
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L1:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;216.637.340;235.402.283;202.659.238;137.056.282;135.281.895;136.305.464;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L1:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;157.887;;154.320;154.320
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L2_3:Secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L2_3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;91.432.955;76.409.645;72.488.368;93.171.027;73.217.115;;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;_T:Total;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:_T:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;2.769.328;;2.170.840;2.047.313
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;CUR_TRF:Current and transfer expenditure;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L4:_T:_T:CUR_TRF:GOV:_T:_Z:_Z:IR;7.971.936;9.046.857;8.487.910;9.754.709;9.518.025;;;100
EDU_EXP:Expenditure on education;GDP:as % of GDP;L1:Primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L1:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.83897;0.90512;0.74842;0.77090;0.71734;;;114.184
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L2:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;288.626.007;241.472.985;233.458.594;347.411.975;274.444.407;259.680.702;;
XASTRP:Annual statutory teacher remuneration;GDP_CAP:as % of GDP per capita;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);Y15:With 15 years' teaching experience;PERM:Permanent;IR:Iran (Islamic Republic of);XASTRP:GDP_CAP:L1:_T:_T:_T:GOV:FFNTP:Y15:PERM:IR;;;;;;14.215.111;;
EDU_EXP:Expenditure on education;GNI:as % of GNI;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L2:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.78360;0.60556;0.55573;0.57175;0.43657;0.38483;0.49204;0.49921
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:L02:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.18028;0.31882;0.17797;0.01904;0.03861;0.04555;0.06047;0.07071
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L2_3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;303.940.052;247.952.465;253.260.128;306.598.467;251.773.089;259.368.000;;
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L1:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;67.328.976;73.160.955;62.984.705;42.595.884;42.044.421;42.362.537;;
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;L2T4:Secondary and post-secondary non-tertiary education;C5:Vocational programmes;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:L2T4:C5:_T:_T:GOV:_T:_Z:_Z:IR;;;;551.881.952;393.453.815;463.440.623;494.475.954;571.531.639
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L2:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;314.118.045;259.629.390;245.934.759;359.358.311;279.369.791;259.680.702;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L2:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.78336;0.60566;0.55577;0.57577;0.43955;0.38598;0.49329;0.50077
EDU_EXP:Expenditure on education;GDP:as % of GDP;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L1:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;0.91545;0.94839;0.80502;0.80425;0.75323;0.74786;0.97111;114.184
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L3:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;8.055.128;;8.087.157;8.364.172
EDU_EXP:Expenditure on education;GDP:as % of GDP;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L4:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.14173;0.16056;0.14288;0.16724;0.14696;0.16059;0.15072;0.14605
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:L3:_T:_T:_T:GOV:_T:_Z:_Z:IR;1.386.693.824;1.075.703.659;1.095.079.141;1.090.171.636;897.659.708;942.049.955;1.015.623.451;1.175.599.754
EDU_EXP:Expenditure on education;GDP:as % of GDP;_T:Total;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:_T:_T:_T:_T:GOV:_T:_Z:_Z:IR;370.918;348.497;316.859;306.795;280.135;279.739;336.576;379.040
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;_X:Not allocated by level;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:_X:_T:_T:_T:GOV:_T:_Z:_Z:IR;0;0;0;0;0;0;0;0
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L02:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;869.130;;974.402;974.402
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L5T8:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;3.732.208;;3.476.906;3.995.618
